,source,text_norm
1744,__label__mil,экипаж истребитель су-30см вновь сформировать эскадрилья зво курский область начать один учебно-тренировочный полёт  >онить отрабатывать уникальный элемент сложный пилотаж управление боев самолёт предельно малое предельный высота приём ведение воздушный бой сверхзвуковой скорость полёт проводиться также истребитель миг-29смт миг29уб  >такж лётчик выполнять посадка один неработающий двигатель уход два круг  >#минобороны авиация зво самолёт миг29 су30см
403,__label__mil,еженедельный отчёт основный показатель деятельность вооружённый сила россия  >#минобороны инфографик всрфзанеделить
3371,__label__mchsgov,буднимчс мчс мчсроссия ><>спасатель начеку лёд берег балтийский море особенно опасный подмывать непостоянный морской течение рыбак любитель экстрим это останавливать >📸 елена нагорный
10765,__label__mospolice,добрый утро хороший день успешный рабочий неделя  >фото угибдд гу мвд россия год москва  >#мвд петровка38 полиция работа девушка понедельник
10746,__label__mospolice,полиция вао подозревать работник автомойка угон иномарка ><>инспектор дпс гибдд увд вао задержать работник автомойка подозревать угон иномарка совершить дтп  >16 октябрь омвд россия район богородский поступить сообщение угон автомобиль потерпевший рассказать накануне вечером сдать иномарка хонда автомойка передать ключ мойщик следующий утро хозяин обнаружить машина  >материальный ущерб превысить 500 тысяча рубль  >оказаться 29-летний работник автомойка неправомерно завладеть автомобиль уехать кататься проспект буденный допустить дтп задержать инспектор дпс вао  >по дать факт возбудить уголовный дело признак преступление предусмотренный ст 166 ук рф неправомерный завладение автотранспортный средство цель хищение подозревать задержать порядок 91 упк рф.<><>#мвд петровка38 полиция москва новость богородский
6224,__label__russianpost,письмо жених невеста оригинальный такой это редкость влюбить писать друг друг письмо случай письмо который видеть фото написать иван романов жена фадеев 13 февраль 1945 год встретиться 1942 мурманский госпиталь боец оправляться рана медсестра женя оставить свой адрес туда приходить письмо фронт ><>этый письмо иван написать подвал немецкий дом машинка пишущий транслитой 9 май 1945 год молодая человек сыграть свадьба чудесно закончиться этот история точнее закончиться продолжаться долго 50 год совместный жизнь письмо увидеть среди экспонат государственный владимиро-суздальский музей-заповедник ><>#интереснознать письмо
9405,__label__mospolice,столичный главка полиция завершиться чемпионат плаванию<><>30 сборный команда состязаться первенство водный стадион динамо результат соревнование хороший хороший быть представлять московский полиция чемпионат мвд россия  >ть чемпионат гу мвд россия год москва принять участие 85 полицейский среди 1 заслужить мастер спорт 8 мастер спорт международный класс 14 мастер спорт 4 кандидат мастер спорт  >ть регламент чемпионат главка плавание войти следующий дисциплина 50 метр вольный стиль 50 метр спина 50 метр баттерфляй 50 метр кроль 100 метр 200 метр вольный стиль 200 метр комплексный плавание также комбинированный смешанный эстафета 4х50 метр вольный стиль  >ть лично-командный зачёт хороший результат один место различный категория занять среди мужчина артём лобузов увд зао сергей кашперский увд вао антон зайковы уооп дмитрий жилин увд сао алексей кудрявцев увд ювао среди женщина екатерина кудинов увд зао майя митрофанов уооп  >ть комбинированный смешанный эстафета плавание победить команда управление охрана общественный порядок столичный главка общекомандный зачёт первенство взять команда увд зао  >ть рамка чемпионат аппарат гу мвд россия год москва плавание 66 сотрудник центральный аппарат главка соревноваться дистанция 50 метр вольный стиль командный первенство 1-е место занять сборная экспертно-криминалистический центр  >«ть соревнование участвовать сотрудник который уделять больший внимание спорт сегодня показать достойный результат надеяться чемпионат мвд россия плавание московский полицейский занять лидировать позиция ‑ подчеркнуть главный судья соревнование заместитель начальник 4-го отдел упп урлс гу мвд россия год москва начальник 2-го отделение подполковник внутренний служба станислав анищенко.<><>#мвдроссия петровка38 полиция новость чемпионат спорт
5609,__label__mchsgov,день пожарный охрана россия самый значимый праздник каждый связать пожарный братство год севастополь 367-летие пожарный охрана россия отметить автопробег пожарно-спасательный техника ретро автомобиль мототехники.<><>http://www.mchs.gov.ru/dop/info/smi/news/item/15637382
5757,__label__mchsgov,70 группа гимс патрулировать водный акватория иркутский области.<><>ть ход патрулирование минувший выходной день который задействовать 204 человек 36 единица техника 10 сотрудник восточно-сибирский линейный управление внутренний дело транспорт выявить нарушитель выезжать лёд автомобиль административный ответственность привлечь 64 человека.<><>http://www.mchs.gov.ru/dop/info/smi/news/item/7972989
11048,__label__mospolice,"выйти свет новый номер газета петровка,38 9 август 2016 год ><>#мвд петровка38 полиция новость газета сми"
9892,__label__mospolice,подозревать попытка кража банкомат задержать полицейский район перово<><>https://youtu.be/nhrgsvzqc_g<><>#мвдроссия петровка38 полиция новость вао перово кража банкомат
3610,__label__mchsgov,мчс мчсроссия ><>ть подмосковье аэродром мячковый авиация мчс россия пожарно-спасательный подразделение провести комплексный учение.<><>http://www.mchs.gov.ru/dop/info/smi/news/item/33430560
4783,__label__mchsgov,маленькаяспасеннаяжизнь мчс мчсроссия ><>помощь животный спасатель добрый сердце который безразличный самый маленькая жизнь
10725,__label__mospolice,сотрудник полиция северный округа проводить акция твой пятёрка безопасность ><>24 октябрь инспектор пропаганда отдельный батальон дпс гибдд увд сао старший лейтенант полиция ольга сядристать старший инспектор дело несовершеннолетний омвд россия район восточный дегунино майор полиция екатерина чихромовый член общественный совет увд сао мария титчева рамка акция твой пятёрка безопасность провести профилактический урок средний общеобразовательный школа 1794 год москва  >мероприятие проходить вид викторин время который учащийся 3-х класс сам рассказывать правило дорожный движение окончание сотрудник полиция раздать ребёнок памятка правило безопасный поведение общественный место дороге.<><>#мвд петровка38 полиция новость пятеркабезопасность полицияребёнок безопасностьдетый
4891,__label__mchsgov,мчс мчсроссия ><>победитель всероссийский конкурс звание хороший психолог силовой структура стать психолог приволжский филиал центр экстренный психологический помощь мчс россия любовь волкова.<><>http://www.mchs.gov.ru/dop/info/smi/news/item/32984165
5105,__label__mchsgov,конкурсмчс<><>работа наш два дом коллега наш два семья выкладывать фотография ваш коллега фотоальбом https://vk.com/album-32123991_236424335 писать подпись фото интересный история ><>м выбрать самый интересный история опубликовать сообщество автор коллега получить памятный приз
10878,__label__mospolice,гу мвд россия год москва посетить делегация мвд республика беларусь<><>заместитель начальник гу мвд россия год москва генерал-лейтенант внутренний служба андрей понорец встретить коллега белоруссия 1-ом оперативный полка столичный полиция гость ознакомиться деятельность туристический конный полиция кавалерист продемонстрировать свой первоклассный мастерство фигурный езда лошадь джигитовка рубка другой маневров.<><>подробность https://77.мвд.рф/news/item/8479890<><>#мвд петровка38 москва полиция новость делегация беларусь коннаяполиция
115,__label__mil,iv международный олимпиада курсант образовательный организация высокий образование военно-профессиональный подготовке<><>#миноборона военноеобразование курсант боеваяподготовка сухопутныевойско
10674,__label__mospolice,задержать медицинский работник подозрение кража квартира 92-летний пенсионерка  >«сотрудник мура совместно оперативник увд юао год москва задержать 33-летний сотрудник один медицинский учреждение подозрение кража квартира 92-летний пенсионерка южный округа столица сообщить и.о начальник управление информация общественный связь гу мвд россия год москва юрий титов  >#мвд петровка38 полиция кража пенсионерка мур<><>https://youtu.be/fkz8feys2z0
2752,__label__mil,учёный военный академия мто глава начальник вуз генерал-лейтенант андрей топоров искать возможный способ материально-технический обеспечение перспективный войско коллективный сила одкб октябрьский номер военный мысль  >ть статья рассмотреть теоретический подход формирование объединить система мто перспективный войско кс одкб предлагаться классификация потенциальный способ мто группировка перспективный войско одкб целое компонент система коллективный безопасность частность  >дробный новый номер журнал
5578,__label__mchsgov,техникамчс<><>респиратор изолировать регенеративный drager bg-4
11107,__label__mospolice,определить хороший кинолог московский полиции<><>ный территория центр кинологический служба столичный полиция состояться десять соревнование кинология который собрать около 4 десяток хороший специалист окружный подразделение увд московский метрополитен гу мвд россия год москве.<><>«участник выступать личный зачёт командный этот соревнование вожатый вместе четвероногий конкурсант предстоять пройти испытание три направление следовой работа поиск наркотик взрывчатый вещество сдача дисциплина участник отводиться 3 7 минута зависимость количество предмет площадь обыск помимо настоящий вещество ход соревнование закладываться муляж бомба запаховый раздражитель сбить собака толк дать возможность продемонстрировать работа именно насколько чутко дифференцировать запах стоить отметить среди участник один специальный выставочно-соревновательный собака четвероногий участник настоящий боец оберегать покоить гражданин рассказать председатель жюри старший инспектор-кинолог центр кинологический служба гу мвд россия год москва капитан полиция алексей гаврилов.<><>ть итог состязание место распределиться следующий образ младший инспектор-кинолог цкс гу мвд россия год москва прапорщик полиция александр макеев стать хороший работа поиск взрывчатый вещество обнаружение наркотический средство одержать победа инспектор-кинолог цкс увд зеленоградский ао гу мвд россия год москва младший лейтенант полиция елена хоменко соревнование разыскник отстоять первенство удаться младший инспектор-кинолог цкс увд западный ао гу мвд россия год москва старший прапорщик полиция павел шабанову.<><>«приятный видеть искренний удовольствие сотрудник свой профессиональный деятельность достижение ваш личный ваш подопечный стать качество поиск стать выше труд умение который обладать четвероногий напарник долго быть востребовать современный общество несмотря сегодня служба силовик становиться высокотехнологичный совершенный собачий нос создать природа человечество пока изобрести обратиться участник начальник фку цко мвд россия полковник полиция сергей качкин.<><>цель соревнование повышение профессиональный мастерство сотрудник кинологический подразделение степень натренированность собака обмен опыт работа выявление хороший кинологово победитель соревнование сформировать команда цель дальнейший участие чемпионат специалист-кинологово мвд россия который состояться сентябрь год дмитрове.<><>ть московский полиция служить 350 собака коллега сотрудник полиция благодаря слаженный работа специалист-кинологово четвероногий напарник начало год раскрытый 1167 преступление около 30 убийство 80 разбой 260 кража 150 грабёж 20 преступление связанный незаконный оборот наркотиков.<><>#мвд петровка38 полиция новость кинолог собака
11374,__label__mospolice,полицейский москва задержать участник организовать группа подозрение мошенничество продажа транспорта<>< сотрудник полиция центральный округа москва задержать участник организовать группа подозревать мошенничество продажа транспорт сообщить руководитель пресс-служба гу мвд россия год москва софья хотина.<><>ть апрель 2016 год увд цао гу мвд россия год москва поступить несколько заявление факт мошеннический действие сторона сотрудник автосалон расположить нижний сыромятнический улице.<><>установить злоумышленник действовать согласно тщательно продумать схема сеть интернет размещать объявление продажа новый транспортный средство потенциальный покупатель приезжать автосалон выбирать машина давать подписывать договор внесение наличный средство однако заплатить полный объём клиент получать чек внесение предоплата сотрудник автосалон предлагать либо доплатить покупка либо приобрести подержать транспорт.<><>так подозревать получить 36-летний уроженка московский область денежный средство сумма один миллион рубль счёт оплата иномарка однако довести свой противоправный намерение конец смочь поскольку задержать сотрудник отдел экономический безопасность противодействие коррупция окружный увд.<><>злоумышленник оказаться четверо уроженец город москва московский ярославский область возраст 25 36 год отношение возбудить уголовный дело признак состав преступление предусмотренный число 3 ст 30 число 4 ст 159 уголовный кодекс российский федерация покушение мошенничество избрать мера пресечение вид заключение стражу.<><>увд цао гу мвд россия год москва обращаться пострадавший противоправный действие указанный гражданин просьба звонить телефон дежурный часть омвд басманный район год москва 499 261-41-41 499 261-07-68
7614,__label__russianpost,почта победа называться книга который выпустить почта россия 70-летие день победа книга посвятить военный почтальон почтовый служащий тыл обстрел передовой тыл приносить письмо газета посылка давать человек надежда страшный год война сообщать случиться трагедия потеря ><>м помнить подвиг наш коллега время великий отечественный война хотеть далёкий передавать знание человек читать почта победа вместе нами.<><>#70летпобед почтапобеды<><>http://www.slideshare.net/mobile/russianpost/ss-47862690
22,__label__mil,главнокомандующий сухопутный войско генерал-полковник олег салюковый провести переговоры начальник генштаб народный армия лаос генерал-полковник сувоном лыангбунми<><>ный встреча обсудить вопрос двухсторонний военный сотрудничество частность обучение лаосский военнослужащий вуз сухопутный войско участие команда вооружённый сила лаос армейский международный игра арми-2018 также проведение совместный учение танковый подразделений.<><>#миноборона св международноесотрудничество лаос
11065,__label__mospolice,юзао мужчина подозреваться хищение иномарки<><>сотрудник полиция юго-западный округа москва подозревать мужчина хищение иномарка реализация противоправный план злоумышленник воспользоваться услуга эвакуации.<><>31 июль дежурный часть омвд россия район зюзино обратиться 54-летний житель столица заявление кража принадлежащий автомобиль мерседес стоимость 980 тысяча рублей.<><>по горячее след сотрудник патрульно-постовой служба полиция омвд россия район зюзино год москва недалеко место происшествие подозревать задержать оказаться 37-летний безработный уроженец закавказья.<><>полицейский установить злоумышленник следить дать автомашина день подготовить поддельный документ цветной принтер взять болванка ключ подгадать момент владелец ряд вызвать эвакуатор злоумышленник ввести заблуждение водитель эвакуатор сказать это машина также мужчина сообщить сломаться ключ автомобиль неполадка рулевой система поэтому транспорт нужно перегнать сервис эвакуатор погрузить транспортный средство начать движение остановить сотрудник полиция район зюзино.<><>по дать факт возбудить уголовный дело признак преступление предусмотренный ст 158 ук рф кража отношение подозревать избрать мера пресечение вид заключение стражу.<><>автомобиль проведение следственный действие возвратить законный владельцу.<><>#мвд петровка38 полиция новость автомобиль кража
3682,__label__mchsgov,мчс мчсроссии<><>министр вручить пожарный спасатель республика мордовия новый современный технику<><>http://www.mchs.gov.ru/dop/info/smi/news/item/33408218
913,__label__mil,соединение юво волгоградский область военный кинолог начать подготовка окружный этап конкурс верный друг который пройти май карачаево-черкесия  >наиболее сложный этап подготовка караульная собака являться отработка команда отказ пища развитие навык определение посторонний человек вещий также привыкание стрельба стрелковый оружие  >тренировка собака проводиться вожатый соединение специально оборудовать кинологический городок собака обучать прохождение полоса препятствие протяжённость 300 метр преодоление лестница барьер забор окоп переползание низко натянутый сетка  >#минобороны юво арми2018 верныйдруг
9168,__label__mospolice,розыск пропасть вести коровин татьяна сергеевны<><>увд тинао гу мвд россия год москва разыскивать пропасть вести коровин татьяна сергей 20.08.1982 год рождение уроженка саратовский область девушка выходить связь родственник 23 октябрь 2017 местонахождение неизвестно  >примета славянский внешность вид 35 год рост 165-170 сантиметр худощавый телосложение лицо круглый бледный глаз серый волос прямая белокурый плечо  >особый примета шрам апендицит который нанести татуировка вид цветок шрам длинный около четыре сантиметр право локоть родинка правый щека  >всех обладать информация место нахождение разыскивать просить сообщить телефон 8 495 850-13-20 8 495 867-00-85 служба 102 мобильный 112).<><>#police mvdrussia мвд мвдроссия полиция полицияроссия мвд77 петровка38 розыск
9703,__label__mospolice,увд западный округа столица посетить представитель главный управление полиция год баку ><>столица посетить делегация полиция год баку цель обмен опыт сфера охрана общественный порядок обеспечение безопасность условие городской инфраструктура  >гость встречать начальник увд зао генерал-майор полиция андрей пучок который рассказать деятельность окружный управление обеспечение правопорядок подведомственный территория провести экскурсия здание управление очередь начальник главный управление полиция год баку генерал-майор полиция сеид миргафар мирджафар оглы поблагодарить коллега тёплый приём  >вый время экскурсия азербайджанский делегат ознакомиться работа сотрудник дежурный часть режим реальный время увидеть осуществляться непрерывный сбор обработка информация оперативный обстановка округа реагирование обращение гражданин маневрирование наряд полиция  >такж гость побывать центр профессиональный подготовка инструктор служебный боев подготовка гу мвд россия год москва стать место внедрение передовой форма обучение инструкторский кадр начальник центр полковник полиция евгений тупичкина ознакомить гость работа подразделение сообщить обучение сотрудник физический культура боев приём борьба проводиться моделирование типовой ситуация максимально приблизить оперативный обстановка  >ть завершение гость побывать центральный музей великий отечественный война 1941-1945 год поклонный горе  >подобный визит проводиться постоянно являться двусторонний сотрудник московский полиция делиться свой опыт иностранный делегация сам выезжать рубеж изучение передовой метод работа полицейский другой стран.<><>#мвдроссия петровка38 полиция новость встреча коллега азербайджан
432,__label__mil,западный военный округа экипаж ударный вертолёт ми-28н ми-35 транспортно-боев ми-26 ми-8 базироваться ленинградский смоленский область отработать уход средство противовоздушный оборона условный противник  >лётчик выполнить полёт предельно малый высота ориентир рельеф местность также совершить различный сложность манёвр цель уход средство пво подавление радиолокационный средство условный противник  >такж ход учебно-тренировочный полёт лётный состав отработать посадка необорудованный площадка высадка тактический десант полёт очки ночное видение также боевой применение авиационный средство поражение наземный цель полигон  >#минобороны зво армейскаяавиация
34,__label__mil,лётчик база армейский авиация упруно центральный военный округа сбросить 300 тонна вода очаг крупный природный пожар увельский лесничество челябинский области<><>площадь возгорание составить 200 га тушение задействовать транспортно-боев вертолёт ми-8 оснастить водосливный устройство всу-5.<><>экипаж выполнить 60 сбросовый вода авиаразведка показать необходимый дальнейший принятие мера тушение пожар воздуха.<><>#миноборона цво армейскаяавиация лесныепожар тушениепожар южныйурал
4269,__label__mchsgov,международный день защита ребёнок круглый год
10193,__label__mospolice,оперативник унк провести антинаркотический рейд ><>https://youtu.be/l0avszkdldu<><>#мвд петровка38 полиция полицейский новость рейд наркотик клуб
11307,__label__mospolice,юг москва выявить притон занятие проституцией<><>сотрудник столичный полиция силовой поддержка омон задержать участник устойчивый группа организовать занятие проституция притон территория столицы.<><>подробность https://petrovka38.ru/news/item/7856046<><>#петровка38 новость притон проституция омон
5007,__label__mchsgov,династиипожарных<><>династие пожарный гончаров поколение который нести нести нелёгкая служба защита население территория кабардино-балкария огненный стихия общий стаж работа пожарный охрана составить 1 ноябрь 2013 год 117 сто семнадцать лет.<><>http://www.mchs.gov.ru/document/15629789
9266,__label__mospolice,завершить расследование направить суд уголовный дело факт попытка сбыт крупный партия героина<><>«главный следственный управление гу мвд россия год москва завершить расследование направить суд уголовный дело отношение обвинять покушение сбыт наркотический средство крупный размер сообщить врио начальник уииос гу мвд россия год москва полковник внутренний служба юрий титов  >ть февраль текущий год ход оперативно-розыскной мероприятие сотрудник полиция задержать мужчина личный досмотр который обнаружить изъять 60 грамм вещество неизвестный происхождение также обследование место проживание злоумышленник вентиляционный отверстие санузел обнаружить свыше 375 грамм аналогичный вещество согласно провести исследование изъять вещество являться наркотический средство героин общий масса около 440 граммов.<><>подробный сайт https://77.мвд.рф/news/item/11391740<><>#police mvdrussia мвд мвдроссия полиция полицияроссия мвд77 петровка38 новость наркотик
1837,__label__mil,ту-95мс медведь наиболее быстрый винтовой самолёт последний модификация создаваться поражение важный объект крылатый ракета тыл противник любой погодный условие также любой время сутки  >крылатый гигант ту-95 свой первое исполнение впервые подняться воздух 1955 год управление лётчик м.а нюхтиковый полвека создать порядок 20 различный модификация бомбардировщик  >#минобороны самолёт вкс ту95мс дальняяавиация
860,__label__mil,еженедельный отчёт основный показатель деятельность вооружённый сила россия  >#минобороны инфографик всрфзанеделить
10152,__label__mospolice,центральный округа участник организовать группа предъявить обвинение незаконный банковский деятельность ><>«раный задержать участник организовать группа предъявить обвинение незаконный банковский деятельность который результат противоправный действие извлечь доход превысить 6 миллион рубль сообщить начальник управление информация общественный связь гу мвд россия год москва александр князев.<><>подробность https://77.мвд.рф/news/item/9628518<><>#мвд петровка38 полиция полицейский
10141,__label__mospolice,полицейский свао поздравить ветеран великий отечественный война юбилей ><>ветеран великий отечественный война кудрявцев алексей пётр исполниться 90 год  >поздравить знаменательный дата прислать заместитель начальник умпо урлс гу мвд россия год москва подполковник внутренний служба александр петров врио помощник начальник рлс увд свао гу мвд россия год москва подполковник внутренний служба максим занький председатель совет первичный ветеранский организация отдел полиция обслуживание ввц увд свао виктор доброскокин  >тёплый слово адрес ветеран прозвучать присутствующий гость полицейский выразить благодарность богатый профессиональный опыт который алексей пётр передавать действующий сотрудник полиция  >руководство весь личный состав увд свао поздравлять алексей пётр юбилей желать крепкий здоровье неиссякаемый энергия долгий год жизни!<><>#мвд петровка38 полиция полицейский новость ветеран юбилей
7032,__label__russianpost,история польский почта разделить множество отдельный этап сам страна часто испытывать политический потрясение королевский период раздел польша мировой война каждый власть почтовый администрация выпускать свой марка польша перекрёсток важный путь восточный западный европа поэтому курьерский почтовый сообщение уделяться большой внимание филателист существовать богатый коллекция разнообразный польский марка необычный номинал форма  >сейчас национальный почтовый оператор poczta polska ведущий история 1918 год оказывать услуга связь выступать роль банковский учреждение фирменный цвета poczta polska красный маленькая почтовый ящик алый пластик видный издалёка фронтальный сторона содержимый образец подпись конвертов.< >#почтымир польша
4603,__label__mchsgov,мчс мчсроссия ><>т кома жизнь чужой дорогой собственный
10634,__label__mospolice,оперативник увд вао задержать подозревать мошенничество  >сотрудник полиция задержать ранее судить 60-летний уроженка ближний зарубежье подозрение присвоение денежный средство пожилой женщина  >#мвд петровка38 полиция новость мошенничество<><>https://youtu.be/gvlqlvvhpck
